,Side0_UniqueIds,Side1_UniqueIds,BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
1483,AA,75_4551294439_CACEIS,1859498176,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1484,AA,234_4551294438_CACEIS,1859497628,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1485,AA,307_4551294430_CACEIS,1859495956,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1486,AA,70_4551294441_CACEIS,1859498710,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1487,AA,104_4551294439_CACEIS,1859498081,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1488,AA,144_4551294436_CACEIS,1859497054,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1489,AA,75_4551294430_CACEIS,1859495809,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1490,AA,323_4551294440_CACEIS,1859498295,OB,OB,No-pair,wire transfer,Caceis booked the wire transfer for SD 2021-05-17. Integrata yet to book
1491,AA,181_4551294436_CACEIS,1859496972,OB,OB,No-pair,proceeds sell,Caceis booked the proceeds sell for SD 2021-05-17. Integrata yet to book
1492,AA,234_4551294436_CACEIS,1859496834,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1493,AA,130_4551294440_CACEIS,1859498384,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1494,AA,104_4551294438_CACEIS,1859497608,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1495,AA,75_4551294438_CACEIS,1859497822,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
1496,AA,307_4551294439_CACEIS,1859498148,OB,OB,No-pair,fx wire,Caceis booked the fx wire for SD 2021-05-17. Integrata yet to book
