,BreakID,BusinessDate,Final_predicted_break,ML_flag,Predicted_Status,Predicted_action,SetupID,SourceCombinationCode,TaskID,probability_No_pair,probability_UMB,probability_UMR,probability_UMT,Side1_UniqueIds,PredictedComment,PredictedCategory,Side0_UniqueIds,ActionType,ActionTypeCode,ReconSetupName,ClientShortCode,CreatedDate
81,2080397226,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,154_8971460235_Newedge,MV Swing,OB,78_8971460235_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
82,2035491217,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,105_8971424734_Newedge,"Commission difference, SFO to advise",OB,496_8971424734_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
83,2063909686,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,199_8971448246_Newedge,MV Swing,OB,109_8971448246_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
84,2051927292,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,74_8971438425_Newedge,MV Swing,OB,129_8971438425_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
85,2047328470,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,86_8971434624_Newedge,"Commission difference, SFO to advise",OB,439_8971434624_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
86,2033341355,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,42_8971422667_Newedge,MV Swing,OB,278_8971422667_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
87,2083550060,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,66_8971462157_Newedge,MV Swing,OB,158_8971462157_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
88,2077723252,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,244_8971458108_Newedge,MV Swing,OB,152_8971458108_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
89,2047327948,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,216_8971430481_Newedge,MV Swing,OB,148_8971434624_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
90,2066111091,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,64_8971450109_Newedge,MV Swing,OB,123_8971450109_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
91,2080397269,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,54_8971460235_Newedge,MV Swing,OB,115_8971460235_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
92,2074204536,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,163_8971456038_Newedge,MV Swing,OB,86_8971456038_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
93,2035491085,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,65_8971424734_Newedge,MV Swing,OB,444_8971424734_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
94,2066110657,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,230_8971450109_Newedge,MV Swing,OB,136_8971450109_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
95,2083550048,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,210_8971462157_Newedge,MV Swing,OB,157_8971462157_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
96,2077723328,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,218_8971458108_Newedge,MV Swing,OB,105_8971458108_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
97,2042742289,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,66_8971430481_Newedge,MV Swing,OB,173_8971430481_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
98,2033341734,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,89_8971422667_Newedge,"Commission difference, SFO to advise",OB,528_8971422667_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
99,2077723331,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,60_8971458108_Newedge,MV Swing,OB,106_8971458108_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
100,2058928073,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,48_8971444152_Newedge,MV Swing,OB,94_8971444152_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
101,2069323933,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,88_8971452119_Newedge,"Commission difference, SFO to advise",OB,251_8971452119_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
102,2074204573,2021-08-09 00:00:00+00:00,,ML,SMB,No-pair,897,-1184097190,8971470069,,,,,37_8971456038_Newedge,MV Swing,OB,87_8971456038_Advent Geneva,COMMENT,3,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
